BPharm Examination                                                               Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting	CPD-LG.60, Centennial Campus
				Introduction to financial accounting	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 103 Main Bldg.
				Introduction to financial accounting	Rm 167 Main Bldg.
				Introduction to financial accounting	Rm 237 Main Bldg.
				Introduction to financial accounting	Rm 6 Library Ext.
				Introduction to financial accounting	Rm 7 Library Ext.
				Introduction to financial accounting	Rm 8 Library Ext.
				Introduction to financial accounting	Rm 9 Library Ext.
Dec 8 MON	9:30 am - 11:30 am		BPHM1111	Integrated Course in Basic Sciences: Anatomy, Physiology & Biochemistry	Rm 167 Main Bldg.
Dec 8 MON	9:30 am - 12:30 pm		BPHM2141	Pharmacy in Body System Series - Respiratory System	Rm 9 Library Ext.
Dec 8 MON	9:30 am - 11:30 am		BPHM4124	Pharmacy Practice: Pharmacy Law and Ethics	Rm 8 Library Ext.
Dec 11 THU	9:30 am - 11:30 am		BPHM1111	Integrated Course in Basic Sciences: Anatomy, Physiology & Biochemistry	Rm 8 Library Ext.
Dec 11 THU	9:30 am - 11:30 am		BPHM2133	Pharmaceutical Chemistry	Rm 7 Library Ext.
Dec 11 THU	9:30 am - 12:30 pm		BPHM3145	Pharmacy in Body System Series: Central Nervous, Musculoskeletal and Connective Tissue Disorders	Rm 5 Library Ext.
Dec 11 THU	2:30 pm - 5:00 pm		MATH1013	University mathematics II	CPD-LG.07-10, Centennial Campus
				University mathematics II	Loke Yew Hall
				University mathematics II	Multi-purpose Zone, Level 3, Main Library
				University mathematics II	Rm 103 Main Bldg.
				University mathematics II	Rm 167 Main Bldg.
Dec 15 MON	9:30 am - 12:30 pm		BPHM2142	Pharmacy in Body Systems Series: Gastrointestinal System, Drug Kinetics and Toxicities	Rm 9 Library Ext.
Dec 15 MON	9:30 am - 12:30 pm		BPHM3144	Pharmacy in Body Systems Series: Endocrinology	Rm 218 Main Bldg.
Dec 15 MON	9:30 am - 12:30 pm		BPHM4148	Pharmacotherapy of Special Populations	Rm 8 Library Ext.
Dec 17 WED	2:30 pm - 4:30 pm		CEMD9005	Practical Chinese for Pharmacy Students	Rm 9 Library Ext.
Dec 18 THU	9:30 am - 11:30 am		BPHM1120	Essential Skills for Pharmacy Students	Rm 8 Library Ext.
Dec 18 THU	9:30 am - 11:30 am		BPHM3134	Advanced Drug Delivery	Rm 218 Main Bldg.
Dec 18 THU	9:30 am - 11:30 am		BPHM4135	Industrial Drug Development	Rm 7 Library Ext.
Dec 19 FRI	9:30 am - 12:00 noon		CCST9027	The Science of Irrational Thinking	CPD-LG.07-10, Centennial Campus
Dec 19 FRI	2:30 pm - 4:30 pm		CCGL9019	Economic Globalization: Issues and Challenges	Rm 103 Main Bldg.
Dec 20 SAT	9:30 am - 11:30 am		CCST9016	Energy: Its Evolution and Environmental Impacts	CPD-LG.07-10, Centennial Campus
